#gene	geneID	pk
RNF223	ENSG00000237330.2	830073
C1orf159	ENSG00000131591.17	10778
LINC01342	ENSG00000223823.1	783190
MIR200B	ENSG00000207730.2	926116
MIR200A	ENSG00000207607.2	896871
MIR429	ENSG00000198976.1	21646
RP11-465B22.8	ENSG00000272141.1	551616
TTLL10-AS1	ENSG00000205231.1	295096
TTLL10	ENSG00000162571.13	604838
TNFRSF18	ENSG00000186891.13	26243
TNFRSF4	ENSG00000186827.10	133203
SDF4	ENSG00000078808.16	809715
B3GALT6	ENSG00000176022.4	342107
FAM132A	ENSG00000184163.3	44133
RP5-902P8.12	ENSG00000260179.1	190722
UBE2J2	ENSG00000160087.20	200054
RP5-902P8.10	ENSG00000230415.1	291390
SCNN1D	ENSG00000162572.19	107358
ACAP3	ENSG00000131584.18	394758
MIR6726	ENSG00000278073.1	970812
PUSL1	ENSG00000169972.11	638280
CPSF3L	ENSG00000127054.18	673660
MIR6727	ENSG00000274153.1	23045
RP5-890O3.9	ENSG00000240731.1	950864
CPTP	ENSG00000224051.6	356681
TAS1R3	ENSG00000169962.4	453220
DVL1	ENSG00000107404.17	545657
MIR6808	ENSG00000275884.1	318129
MXRA8	ENSG00000162576.16	719016
AURKAIP1	ENSG00000175756.13	78164
RP5-890O3.3	ENSG00000223663.2	378847
CCNL2	ENSG00000221978.11	961225
RP4-758J18.2	ENSG00000224870.6	85488
MRPL20	ENSG00000242485.5	857218
RN7SL657P	ENSG00000264293.2	437583
RP4-758J18.13	ENSG00000272455.1	550859
ANKRD65	ENSG00000235098.8	303471
RP4-758J18.7	ENSG00000225905.1	572562
TMEM88B	ENSG00000205116.3	110328
RP4-758J18.10	ENSG00000225285.1	499093
VWA1	ENSG00000179403.11	499056
ATAD3C	ENSG00000215915.9	922384
ATAD3B	ENSG00000160072.19	430786
ATAD3A	ENSG00000197785.13	479840
TMEM240	ENSG00000205090.8	123075
SSU72	ENSG00000160075.11	720634
RP5-832C2.5	ENSG00000215014.4	251284
AL645728.1	ENSG00000279244.1	542882
RP11-345P4.11	ENSG00000274481.1	459008
Metazoa_SRP	ENSG00000280747.1	667659
C1orf233	ENSG00000228594.3	943874
RP11-345P4.9	ENSG00000272106.1	677769
MIB2	ENSG00000197530.12	143202
MMP23B	ENSG00000189409.12	526122
CDK11B	ENSG00000248333.8	520976
RP11-345P4.10	ENSG00000272004.1	741425
SLC35E2B	ENSG00000189339.11	787242
RP11-345P4.7	ENSG00000269737.1	805277
RP11-345P4.6	ENSG00000269227.1	377138
MMP23A	ENSG00000215914.4	6751
CDK11A	ENSG00000008128.22	406899
RP1-283E3.8	ENSG00000268575.1	611413
RP1-283E3.4	ENSG00000227775.3	367750
SLC35E2	ENSG00000215790.6	166296
NADK	ENSG00000008130.15	303723
GNB1	ENSG00000078369.17	792815
RP1-140A9.1	ENSG00000231050.1	895013
CALML6	ENSG00000169885.9	282958
TMEM52	ENSG00000178821.12	65141
CFAP74	ENSG00000142609.17	259195
RP11-547D24.1	ENSG00000233542.1	219042
GABRD	ENSG00000187730.7	573706
RP11-547D24.3	ENSG00000226969.1	169966
PRKCZ	ENSG00000067606.15	708105
RP5-892K4.1	ENSG00000271806.1	495126
RP11-181G12.2	ENSG00000182873.5	888190
FAAP20	ENSG00000162585.16	592668
RP11-181G12.4	ENSG00000234396.3	731789
AL590822.1	ENSG00000277082.1	304907
SKI	ENSG00000157933.9	298127
MORN1	ENSG00000116151.13	280431
RP4-713A8.1	ENSG00000272161.1	419336
RP4-740C4.5	ENSG00000269896.2	68744
RP4-740C4.7	ENSG00000272420.1	695167
RER1	ENSG00000157916.18	555830
PEX10	ENSG00000157911.9	15285
PLCH2	ENSG00000149527.17	701273
RP3-395M20.2	ENSG00000224387.1	441680
RP3-395M20.3	ENSG00000229393.1	145411
PANK4	ENSG00000157881.13	407137
HES5	ENSG00000197921.5	625507
RP3-395M20.12	ENSG00000272449.1	998928
RP3-395M20.8	ENSG00000238164.6	868758
TNFRSF14	ENSG00000157873.17	596804
RP3-395M20.7	ENSG00000225931.3	54382
RP3-395M20.9	ENSG00000228037.1	552385
FAM213B	ENSG00000157870.14	855565
MMEL1	ENSG00000142606.15	524990
RP13-436F16.1	ENSG00000237058.1	972479
TTC34	ENSG00000215912.11	94695
RP11-740P5.2	ENSG00000233234.1	782279
RP11-740P5.3	ENSG00000231630.1	144103
ACTRT2	ENSG00000169717.6	825840
LINC00982	ENSG00000177133.10	73221
PRDM16	ENSG00000142611.16	384401
RP1-163G9.2	ENSG00000226286.1	32106
RP11-193J6.1	ENSG00000279839.1	963317
RP11-22L13.1	ENSG00000272235.1	212772
ARHGEF16	ENSG00000130762.14	405448
RP11-168F9.2	ENSG00000272088.1	214829
MEGF6	ENSG00000162591.15	106981
MIR551A	ENSG00000207776.1	426423
RP11-46F15.2	ENSG00000238260.1	85555
TPRG1L	ENSG00000158109.14	130099
WRAP73	ENSG00000116213.15	297327
TP73	ENSG00000078900.14	408821
RP5-1092A11.5	ENSG00000227589.1	572336
RP5-1092A11.2	ENSG00000235131.1	773372
TP73-AS1	ENSG00000227372.10	163119
TP73-AS1	ENSG00000276189.1	377474
CCDC27	ENSG00000162592.8	587841
SMIM1	ENSG00000235169.7	133216
LRRC47	ENSG00000130764.9	168092
RN7SL574P	ENSG00000266075.2	190671
RP1-286D6.5	ENSG00000272153.1	927156
CEP104	ENSG00000116198.12	755555
DFFB	ENSG00000169598.15	748671
C1orf174	ENSG00000198912.10	195221
LINC01134	ENSG00000236423.5	871165
LINC01346	ENSG00000233304.6	628442
RP13-614K11.2	ENSG00000226374.2	555868
EEF1DP6	ENSG00000229280.1	195293
RP5-1166F10.1	ENSG00000235054.3	391579
RP1-37J18.1	ENSG00000227169.2	363219
RP1-37J18.2	ENSG00000232596.2	170741
AJAP1	ENSG00000196581.10	93065
AL137795.1	ENSG00000277731.1	321812
RP11-542C10.1	ENSG00000231510.1	148786
RP1-58B11.1	ENSG00000260972.1	856713
MIR4417	ENSG00000264341.1	657124
RP11-154H17.1	ENSG00000236948.1	433651
AL356693.1	ENSG00000216045.2	252255
MIR4689	ENSG00000264101.1	805264
NPHP4	ENSG00000131697.17	650025
AL356261.1	ENSG00000266687.1	158744
KCNAB2	ENSG00000069424.14	115468
CHD5	ENSG00000116254.17	559139
RPL22	ENSG00000116251.9	29704
RP1-120G22.11	ENSG00000226944.1	898138
RNF207	ENSG00000158286.12	909667
ICMT	ENSG00000116237.15	410158
LINC00337	ENSG00000225077.2	39975
HES3	ENSG00000173673.7	991317
GPR153	ENSG00000158292.6	327820
ACOT7	ENSG00000097021.19	647153
RP1-202O8.3	ENSG00000271746.1	989250
HES2	ENSG00000069812.11	958015
ESPN	ENSG00000187017.14	889587
MIR4252	ENSG00000265392.1	493088
RP1-202O8.2	ENSG00000231868.1	524312
TNFRSF25	ENSG00000215788.9	682533
PLEKHG5	ENSG00000171680.20	285896
NOL9	ENSG00000162408.10	634433
RNU6-731P	ENSG00000253022.1	265268
RP11-58A11.2	ENSG00000229519.2	215607
TAS1R1	ENSG00000173662.19	302937
ZBTB48	ENSG00000204859.11	395958
KLHL21	ENSG00000162413.16	241957
PHF13	ENSG00000116273.5	97675
THAP3	ENSG00000041988.15	792811
DNAJC11	ENSG00000007923.15	419437
RP11-242F24.1	ENSG00000228750.6	966379
RP11-312B8.1	ENSG00000237436.1	250835
CAMTA1	ENSG00000171735.18	717316
RP11-312B8.2	ENSG00000227950.1	127460
RP11-334N17.1	ENSG00000237365.1	33034
RNU1-8P	ENSG00000207056.1	440197
Z98052.1	ENSG00000280801.1	355429
CAMTA1-IT1	ENSG00000237402.1	196033
RP3-453P22.2	ENSG00000237728.2	911343
RP4-549F15.1	ENSG00000225126.1	258956
RP11-338N10.1	ENSG00000270171.1	8606
RP11-338N10.2	ENSG00000270035.1	261608
RP11-338N10.3	ENSG00000269978.1	756057
VAMP3	ENSG00000049245.12	808782
RP3-467L1.6	ENSG00000269925.1	490434
PER3	ENSG00000049246.14	785754
RP3-467L1.4	ENSG00000236266.1	990652
UTS2	ENSG00000049247.13	482897
TNFRSF9	ENSG00000049249.8	943232
RP5-892F13.2	ENSG00000270330.1	247304
PARK7	ENSG00000116288.12	182727
Y_RNA	ENSG00000200344.1	543778
ERRFI1	ENSG00000116285.12	609552
RP11-431K24.1	ENSG00000238290.1	193481
CTA-215D11.4	ENSG00000232848.1	680370
RP11-431K24.2	ENSG00000229305.1	115639
RP11-431K24.3	ENSG00000227634.2	929563
RNU1-7P	ENSG00000200975.1	965314
RP11-431K24.4	ENSG00000233645.1	964368
RNU6-991P	ENSG00000251977.1	277259
SLC45A1	ENSG00000162426.14	322363
Y_RNA	ENSG00000252254.1	535909
RERE	ENSG00000142599.17	87424
RP5-1115A15.1	ENSG00000232912.5	468728
SNORA77	ENSG00000221083.1	454632
RP5-1115A15.2	ENSG00000270282.1	256257
AL096855.1	ENSG00000280851.1	14330
RPL7P11	ENSG00000234619.1	220220
RPL7P7	ENSG00000224315.2	591888
Y_RNA	ENSG00000222511.2	494771
RP4-633I8.3	ENSG00000226545.1	961342
RP4-633I8.4	ENSG00000228423.2	747072
RPL23AP19	ENSG00000229716.2	516589
ENO1	ENSG00000074800.13	426700
Metazoa_SRP	ENSG00000280816.1	513357
MIR6728	ENSG00000274258.1	416348
ENO1-IT1	ENSG00000236269.1	691968
ENO1-AS1	ENSG00000230679.1	303611
RNU6-304P	ENSG00000201725.1	858631
HMGN2P17	ENSG00000238249.2	852156
RP3-477M7.5	ENSG00000232208.2	806410
RP3-477M7.6	ENSG00000232663.2	760676
CA6	ENSG00000131686.14	894038
RN7SL451P	ENSG00000265141.2	599334
SLC2A7	ENSG00000197241.3	261122
SLC2A5	ENSG00000142583.17	975305
SCARNA16	ENSG00000252404.1	842923
AL158048.1	ENSG00000281506.1	810994
GPR157	ENSG00000180758.11	37108
MIR34AHG	ENSG00000228526.4	607639
MIR34A	ENSG00000207865.1	309123
RP3-510D11.2	ENSG00000234546.3	310519
RP3-510D11.4	ENSG00000281937.1	637780
H6PD	ENSG00000049239.12	372987
SPSB1	ENSG00000171621.13	631734
RNA5SP40	ENSG00000252956.1	515914
RP13-392I16.1	ENSG00000235263.1	638896
SLC25A33	ENSG00000171612.6	336931
RP13-15M17.1	ENSG00000231181.1	198052
TMEM201	ENSG00000188807.12	6657
PIK3CD	ENSG00000171608.15	51585
PIK3CD-AS1	ENSG00000179840.5	36104
RP11-558F24.2	ENSG00000233268.3	89952
PIK3CD-AS2	ENSG00000231789.2	573928
CLSTN1	ENSG00000171603.16	565474
MZT1P1	ENSG00000271264.1	396710
AL357140.1	ENSG00000280113.1	335684
CTNNBIP1	ENSG00000178585.14	587494
RP11-84A14.5	ENSG00000223989.1	479721
LZIC	ENSG00000162441.11	438693
RP11-84A14.4	ENSG00000228150.1	763572
NMNAT1	ENSG00000173614.13	640548
RN7SKP269	ENSG00000202415.1	672172
MIR5697	ENSG00000265521.1	613781
RP11-807G9.2	ENSG00000241326.1	370207
RBP7	ENSG00000162444.11	918000
UBE4B	ENSG00000130939.18	969155
RP11-496H15.2	ENSG00000224340.1	322685
PGAM1P11	ENSG00000233623.2	394910
RNU6-828P	ENSG00000201746.1	405864
KIF1B	ENSG00000054523.17	624622
MIR1273D	ENSG00000264881.1	414626
RNU6-37P	ENSG00000199562.1	92548
RN7SL731P	ENSG00000264501.2	111772
PGD	ENSG00000142657.20	955276
RP4-736L20.3	ENSG00000271989.1	254545
APITD1-CORT	ENSG00000251503.8	209574
APITD1	ENSG00000175279.21	358516
CORT	ENSG00000241563.3	711860
DFFA	ENSG00000160049.11	827610
RP5-1113E3.3	ENSG00000203469.2	651428
PEX14	ENSG00000142655.12	215973
RN7SL614P	ENSG00000243267.3	829796
CASZ1	ENSG00000130940.14	279774
RP4-734G22.3	ENSG00000272078.1	407651
HSPE1P24	ENSG00000225158.2	385802
C1orf127	ENSG00000175262.14	978729
CFL1P6	ENSG00000215785.2	733588
AL713997.1	ENSG00000264181.1	640379
Y_RNA	ENSG00000281322.1	620409
TARDBP	ENSG00000120948.15	962782
RP4-635E18.9	ENSG00000277726.4	256175
MASP2	ENSG00000009724.16	922893
RP4-635E18.8	ENSG00000271895.2	106878
SRM	ENSG00000116649.9	96868
EXOSC10	ENSG00000171824.13	311464
RP4-635E18.7	ENSG00000226849.1	263584
Metazoa_SRP	ENSG00000281350.1	5165
RP4-635E18.6	ENSG00000230337.1	950454
MTOR	ENSG00000198793.12	976704
MTOR-AS1	ENSG00000225602.5	917457
RNU6-537P	ENSG00000253086.1	466856
ANGPTL7	ENSG00000171819.4	124261
RNU6-291P	ENSG00000207451.1	586427
RPL39P6	ENSG00000238173.1	982314
UBIAD1	ENSG00000120942.13	548
UBE2V2P3	ENSG00000238199.1	670987
RP11-149P14.1	ENSG00000224338.2	622458
PTCHD2	ENSG00000204624.7	815371
RP1-69M21.2	ENSG00000235643.1	675009
FBXO2	ENSG00000116661.9	639879
FBXO44	ENSG00000132879.13	188015
FBXO6	ENSG00000116663.10	861497
MAD2L2	ENSG00000116670.14	216067
DRAXIN	ENSG00000162490.6	540526
AGTRAP	ENSG00000177674.15	858174
C1orf167	ENSG00000215910.7	388524
RP11-56N19.5	ENSG00000177553.6	343175
MTHFR	ENSG00000177000.10	283724
CLCN6	ENSG00000011021.21	448708
NPPA-AS1	ENSG00000242349.5	582160
NPPA-AS1_1	ENSG00000276470.1	428258
NPPA-AS1_2	ENSG00000278852.1	761869
NPPA	ENSG00000175206.10	706655
NPPA-AS1_3	ENSG00000275915.1	668643
NPPB	ENSG00000120937.8	796919
RP5-934G17.6	ENSG00000224904.1	265719
RNU5E-1	ENSG00000199347.1	919181
RNU5E-4P	ENSG00000201801.1	446233
KIAA2013	ENSG00000116685.15	238877
PLOD1	ENSG00000083444.16	693894
MFN2	ENSG00000116688.16	464513
RP5-1077B9.5	ENSG00000270914.1	496323
MIIP	ENSG00000116691.10	756080
Y_RNA	ENSG00000202461.1	141880
MIR6729	ENSG00000276869.1	170886
RN7SL649P	ENSG00000243539.3	106758
TNFRSF8	ENSG00000120949.14	20614
Metazoa_SRP	ENSG00000281342.1	921919
RNU6-777P	ENSG00000201135.1	12805
RPL23AP89	ENSG00000227875.2	471023
MIR7846	ENSG00000275459.1	620305
TNFRSF1B	ENSG00000028137.16	135557
MIR4632	ENSG00000263676.1	892112
RP5-1118D24.2	ENSG00000225196.2	253112
SNORA70	ENSG00000252969.1	925757
VPS13D	ENSG00000048707.13	741200
AC243836.1	ENSG00000280999.1	19537
SNORA59A	ENSG00000239149.1	305065
RP5-888M10.2	ENSG00000229484.1	572312
DHRS3	ENSG00000162496.8	492638
RNU6ATAC18P	ENSG00000221340.1	312389
MIR6730	ENSG00000276830.1	442960
RP11-474O21.5	ENSG00000272482.1	541077
AADACL4	ENSG00000204518.2	854991
RP11-474O21.2	ENSG00000226166.2	678265
AADACL3	ENSG00000188984.11	772136
C1orf158	ENSG00000157330.9	909645
PRAMEF12	ENSG00000116726.4	310384
PRAMEF1	ENSG00000116721.9	359594
RP5-845O24.8	ENSG00000228338.1	873761
PRAMEF11	ENSG00000239810.3	790660
PRAMEF30P	ENSG00000231103.2	321639
HNRNPCL1	ENSG00000179172.8	142302
PRAMEF2	ENSG00000120952.4	745136
PRAMEF4	ENSG00000243073.3	678589
PRAMEF10	ENSG00000187545.5	659264
PRAMEF7	ENSG00000204510.5	786609
RNU6-1072P	ENSG00000207434.1	114078
PRAMEF29P	ENSG00000234064.1	587524
PRAMEF6	ENSG00000232423.5	511916
PRAMEF28	ENSG00000274178.2	915063
PRAMEF27	ENSG00000274764.5	923583
PRAMEF26	ENSG00000280267.3	606165
PRAMEF25	ENSG00000229571.6	285203
HNRNPCL3	ENSG00000277058.2	40180
PRAMEF34P	ENSG00000277862.1	382388
PRAMEF35P	ENSG00000236179.1	62172
HNRNPCL2	ENSG00000275774.2	939341
PRAMEF36P	ENSG00000229978.1	921050
RP13-221M14.2	ENSG00000233336.1	308806
HNRNPCL4	ENSG00000179412.10	733622
PRAMEF9	ENSG00000204505.4	38085
PRAMEF13	ENSG00000279169.1	71722
PRAMEF18	ENSG00000279804.1	813361
PRAMEF31P	ENSG00000250894.1	978593
PRAMEF5	ENSG00000270601.4	612896
PRAMEF32P	ENSG00000231219.1	384563
RNU6-771P	ENSG00000207511.1	259855
PRAMEF8	ENSG00000182330.10	168932
PRAMEF15	ENSG00000204501.6	688315
PRAMEF33P	ENSG00000237700.1	539714
RP11-219C24.10	ENSG00000228229.2	118393
PRAMEF14	ENSG00000204481.7	515304
PRAMEF19	ENSG00000204480.7	579975
PRAMEF17	ENSG00000204479.4	640242
PRAMEF20	ENSG00000204478.9	365712
LRRC38	ENSG00000162494.5	816087
RP4-597A16.2	ENSG00000259961.1	108648
BRWD1P1	ENSG00000215909.3	240524
PDPN	ENSG00000162493.16	522620
RNA5SP41	ENSG00000222952.1	949311
AL359771.1	ENSG00000266358.1	368497
CTA-520D8.2	ENSG00000237445.2	59725
SCARNA11	ENSG00000253085.1	274187
PRDM2	ENSG00000116731.22	733021
RNU6-1265P	ENSG00000252151.1	651669
RP11-344F13.1	ENSG00000231606.1	462649
RP4-704D23.1	ENSG00000234593.2	600297
KAZN	ENSG00000189337.15	823768
AL034395.1	ENSG00000280763.1	830917
TBCAP2	ENSG00000235829.1	266770
TMEM51-AS1	ENSG00000175147.11	377196
TMEM51	ENSG00000171729.13	805742
C1orf195	ENSG00000204464.7	211139
RP1-21O18.3	ENSG00000215720.4	478567
RP5-903E17.2	ENSG00000278480.1	288110
FHAD1	ENSG00000142621.19	721198
RP3-467K16.2	ENSG00000233485.1	589152
RP3-467K16.7	ENSG00000236045.1	891265
RP3-467K16.4	ENSG00000228140.1	546462
EFHD2	ENSG00000142634.12	211521
CTRC	ENSG00000162438.11	489326
CELA2A	ENSG00000142615.7	512048
CELA2B	ENSG00000215704.9	312984
CASP9	ENSG00000132906.17	891002
DNAJC16	ENSG00000116138.12	242763
SCARNA21	ENSG00000251866.1	567312
RP4-680D5.8	ENSG00000272510.1	986237
AGMAT	ENSG00000116771.5	438365
RP4-680D5.2	ENSG00000237301.1	164629
CHCHD2P6	ENSG00000235084.3	943021
RNU7-179P	ENSG00000252417.1	62794
RP4-680D5.4	ENSG00000236500.1	254062
DDI2	ENSG00000197312.11	907242
RSC1A1	ENSG00000215695.1	558623
RP4-680D5.9	ENSG00000271742.1	591892
PLEKHM2	ENSG00000116786.11	646253
AL121992.1	ENSG00000264048.1	910923
RP11-288I21.1	ENSG00000237938.5	589572
SLC25A34	ENSG00000162461.7	709712
RP11-169K16.4	ENSG00000224459.1	324965
TMEM82	ENSG00000162460.6	418222
FBLIM1	ENSG00000162458.12	802384
Metazoa_SRP	ENSG00000280788.1	114255
RPL12P14	ENSG00000224321.1	674879
UQCRHL	ENSG00000233954.6	581531
RP11-169K16.8	ENSG00000178715.8	238817
FLJ37453	ENSG00000179743.4	369058
SPEN	ENSG00000065526.10	667279
RP1-134O19.3	ENSG00000270620.1	5914
ZBTB17	ENSG00000116809.11	817210
RP11-5P18.1	ENSG00000234607.2	866442
RP11-5P18.3	ENSG00000231353.1	236575
RP11-5P18.11	ENSG00000275503.1	648331
TBC1D3P6	ENSG00000224966.4	47302
C1orf64	ENSG00000183888.4	356370
RP11-5P18.5	ENSG00000233078.1	165275
HSPB7	ENSG00000173641.17	129931
CLCNKA	ENSG00000186510.11	359307
RP11-5P18.10	ENSG00000232456.1	543077
CLCNKB	ENSG00000184908.17	644701
FAM131C	ENSG00000185519.8	420325
EPHA2	ENSG00000142627.12	424904
RP11-276H7.2	ENSG00000227959.1	484832
RP11-276H7.3	ENSG00000224621.1	128193
ARHGEF19-AS1	ENSG00000234166.1	596446
ARHGEF19	ENSG00000142632.16	230877
ANO7P1	ENSG00000237276.8	685739
RSG1	ENSG00000132881.11	910770
MT1XP1	ENSG00000233929.1	306487
FBXO42	ENSG00000037637.10	322559
SZRD1	ENSG00000055070.16	543802
RP11-430L17.1	ENSG00000226457.1	926239
SPATA21	ENSG00000187144.11	397394
AL358794.1	ENSG00000281598.1	234824
NECAP2	ENSG00000157191.19	344721
RP4-798A10.2	ENSG00000226029.1	440489
CROCCP3	ENSG00000080947.14	556727
RNU1-1	ENSG00000206652.1	88229
RP4-798A10.7	ENSG00000261135.1	399284
RP4-798A10.4	ENSG00000224174.2	847989
RP5-875O13.1	ENSG00000233421.4	465330
RNU1-6P	ENSG00000277344.1	466381
FAM231C	ENSG00000268991.2	943953
RP5-875O13.6	ENSG00000225710.1	534416
AL355149.1	ENSG00000266584.1	882698
NBPF1	ENSG00000219481.10	269842
RP5-1182A14.5	ENSG00000271732.1	716055
CROCCP2	ENSG00000215908.8	489779
MST1P2	ENSG00000186301.8	412985
RP1-163M9.8	ENSG00000282143.1	642357
RNU1-3	ENSG00000207513.1	448796
FAM231A	ENSG00000237847.2	252924
RP5-875O13.7	ENSG00000280114.1	589240
AL021920.1	ENSG00000264742.1	691958
EIF1AXP1	ENSG00000236698.1	722656
ESPNP	ENSG00000268869.5	250002
RP1-163M9.7	ENSG00000279151.1	20710
FAM231C	ENSG00000279132.1	92271
RP5-1182A14.7	ENSG00000282740.1	245026
CROCC	ENSG00000058453.16	207269
CROCCP4	ENSG00000227684.2	708049
RNU1-4	ENSG00000207389.1	851868
MST1L	ENSG00000186715.10	690060
RP11-108M9.1	ENSG00000223643.6	849464
RP11-108M9.2	ENSG00000230239.1	997801
MIR3675	ENSG00000263811.1	140246
RP11-108M9.3	ENSG00000228549.3	84450
RNU1-5P	ENSG00000277234.1	573760
RP11-108M9.4	ENSG00000238142.1	135669
RP11-108M9.5	ENSG00000235241.1	49938
RNU1-2	ENSG00000207005.1	729056
RP11-108M9.6	ENSG00000272426.1	504656
MFAP2	ENSG00000117122.13	901037
RP1-37C10.3	ENSG00000226526.1	974787
ATP13A2	ENSG00000159363.17	562265
SDHB	ENSG00000117118.9	643193
PADI2	ENSG00000117115.12	538671
Y_RNA	ENSG00000281330.1	273450
RP11-380J14.1	ENSG00000204362.6	55281
RP11-380J14.4	ENSG00000282843.1	55822
PADI1	ENSG00000142623.9	700410
PADI3	ENSG00000142619.4	176658
MIR3972	ENSG00000266634.1	758875
PADI4	ENSG00000159339.13	806002
AC004824.2	ENSG00000280226.1	82133
PADI6	ENSG00000276747.1	687399
RP1-20B21.4	ENSG00000227751.1	285021
RCC2	ENSG00000179051.13	398777
AC004824.1	ENSG00000266727.1	591881
ARHGEF10L	ENSG00000074964.16	651994
RP11-473A10.2	ENSG00000236648.1	618378
AL136529.1	ENSG00000278471.1	525708
ACTL8	ENSG00000117148.7	953635
RP11-174G17.2	ENSG00000261781.1	986738
IGSF21	ENSG00000117154.11	176764
RP11-174G17.3	ENSG00000280222.1	582541
RP11-174G17	ENSG00000230035.2	276630
RP11-422P22.1	ENSG00000225387.1	693437
KLHDC7A	ENSG00000179023.8	792219
DYNLL1P3	ENSG00000235282.3	866961
RP1-8B22.2	ENSG00000225478.2	592058
PAX7	ENSG00000009709.11	735579
TAS1R2	ENSG00000179002.5	969254
RP13-279N23.2	ENSG00000255275.3	447449
ALDH4A1	ENSG00000159423.16	476829
MIR4695	ENSG00000265606.1	726557
MIR1290	ENSG00000221662.1	809197
IFFO2	ENSG00000169991.10	61952
RP5-1126H10.2	ENSG00000272084.1	270401
UBR4	ENSG00000127481.14	992699
RP1-43E13.2	ENSG00000230424.1	340294
EMC1	ENSG00000127463.13	405475
MRTO4	ENSG00000053372.4	159842
AKR7L	ENSG00000211454.13	892437
AKR7A3	ENSG00000162482.4	942998
RP4-657E11.10	ENSG00000270728.1	973403
AKR7A2	ENSG00000053371.12	843877
RNU6-1099P	ENSG00000200403.1	543467
PQLC2	ENSG00000040487.12	359538
CAPZB	ENSG00000077549.17	610918
RN7SL277P	ENSG00000240490.3	492809
RNU4-28P	ENSG00000201609.1	999148
RP5-1056L3.1	ENSG00000235185.1	958721
MINOS1	ENSG00000173436.13	277432
MINOS1-NBL1	ENSG00000270136.5	459800
RP5-1056L3.3	ENSG00000226396.1	586382
NBL1	ENSG00000158747.13	195640
HTR6	ENSG00000158748.3	885496
TMCO4	ENSG00000162542.13	197674
RNF186	ENSG00000178828.6	91602
RP11-91K11.2	ENSG00000235434.1	20368
